,ReportBaseId,MultipleFormsFiled,ReportingAgencyId,ReportingAgencyTypeId,RevisionDate,PostmarkDate,ReasonId,CrossingId,CrossingIdSuffix,ReportStatus,ReportType,CreatedDate,CreatedBy,LastUpdatedDate,Railroad,StateCD,CntyCD,Nearest,CityCD,Street,BlockNumb,Highway,SepInd,SepRr1,SepRr2,SepRr3,SepRr4,MultFrmsFiled,SameInd,SameRr1,SameRr2,SameRr3,SameRr4,RrID,Ttstn,TtstnNam,RrMain,XingOwnr,TypeXing,XPurpose,PosXing,OpenPub,TypeTrnSrvcIDs,DevelTypID,XingAdj,XngAdjNo,Whistban,WhistDate,HscoRrid,Latitude,Longitude,LLsource,RrNarr1,RrNarr2,RrNarr3,RrNarr4,StNarr1,StNarr2,StNarr3,StNarr4,PolCont,RrCont,HwyCont,OperatingRailroadCode,OperatingRailroadType,RrDiv,RrSubDiv,Branch,PrfxMilePost,MilePost,SfxMilePost,Lt1PassMov,PassCnt,DayThru,NghtThru,TotalSwt,TotalLtr,Lt1Mov,WeekTrnMov,YearTrnMov,MaxTtSpd,MinSpd,MaxSpd,MainTrk,SidingTrk,YardTrk,TransitTrk,IndustryTrk,OthrTrk,OthrTrkDes,SpselIDs,Sgnleqp,EMonitorDvce,HealthMonitor,NoSigns,XBuck,StopStd,YieldStd,AdvWarn,AdvW10_1,AdvW10_2,AdvW10_3,AdvW10_4,AdvW10_11,AdvW10_12,Low_Grnd,Low_GrndSigns,PaveMrkIDs,Channel,Exempt,EnsSign,OthSgn,OthSgn1,OthDes1,OthSgn2,OthDes2,OthSgn3,OthDes3,PrvxSign,Led,Gates,GatePed,GateConf,FlashOv,FlashNov,CFlashType,FlashPost,FlashPostType,Bkl_FlashPost,Sdl_FlashPost,FlashPai,AwdIDate,AwhornChk,AwhornlDate,HwyTrafSignl,Wigwags,Bells,SpecPro,FlashOth,FlashOthDes,HwynrSig,Intrprmp,PrempType,HwtrfPsig,HwtrfPsigsdis,HwtrfPsiglndis,MonitorDev,WdCode,TraficLn,TraflnType,HwyPved,Downst,Illumina,XSurfDate,XSurfWidth,XSurfLength,XSurfaceIDs,XSurOthr,HwyNear,HwynDist,XAngle,ComPower,HwySys,HwyClassCD,HwyClassrdtpID,StHwy1,HwySpeed,HwySpeedps,LrsRouteid,LrsMilePost,Aadt,AadtYear,PctTruk,SchlBusChk,SchlBsCnt,HazmtVeh,EmrgncySrvc,geometry
33,992344,0,11815,2,1989-04-05T00:00:00,,16,604885L,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,P,2,,,,,,2,,,,,RIS 257.37,569912,STRASBURG,,,3,1,1,,,11,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0257.37,,,0,1,1.0,0.0,,,,,40,1,40,1,,,,,0,,18,2,,,1,2,0,,1,,,,,,,,,0,,,,2,,,,,,,,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,3,2,,1,2,,,,,11,,2,,2,1,3,0,18,1,,,,,000354,,08,2,0,,,POINT EMPTY
34,992345,0,11815,2,1989-04-05T00:00:00,,16,604890H,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,2,,,,,,2,,,,,RIS 255.93,569912,STRASBURG,,,3,1,1,,,11,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0255.93,,,0,1,1.0,0.0,,,,,40,1,40,1,,,,,0,,18,2,,,1,1,0,,,,,,,,,,,0,,,,2,,,,,,,,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,3,1,,2,2,,,,,18,,2,,1,1,8,0,19,2,,,,,000005,,20,2,0,,,POINT EMPTY
35,992346,0,11815,2,1989-04-05T00:00:00,,16,604891P,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,2,,,,,,2,,,,,RIS 255.37,569912,STRASBURG,,,3,1,1,,,11,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST LOUIS,,0255.37,,,0,1,1.0,0.0,,,,,40,1,40,1,,,,,0,,18,2,,,1,1,0,,,,,,,,,,,0,,,,2,,,,,,,,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,3,2,,2,2,,,,,18,,2,,3,1,8,0,19,2,,,,,000005,,20,2,0,,,POINT EMPTY
36,992347,0,11815,2,1989-04-05T00:00:00,,16,604894K,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,2,,,,,,2,,,,,RIS 252.50,569912,STRASBURG,,,3,1,1,,,11,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0252.50,,,0,1,1.0,0.0,,,,,40,1,40,1,,,,,0,,18,2,,,1,1,0,,,,,,,,,,,0,,,,2,,,,,,,,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,3,2,,2,2,,,,,11,,2,,3,1,8,0,19,2,,,,,000005,,20,2,0,,,POINT EMPTY
37,992348,0,11815,2,1989-04-05T00:00:00,,16,604889N,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,,,,,,,,,,,,RIS 255.98,569912,STRASBURG,,,2,1,1,,,16,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0255.98,,,0,0,0.0,0.0,,,,,0,0,0,0,,,,,0,,,,,,2,0,0,,,,,,,,,,,,,,,2,,,,,,,2,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,POINT EMPTY
38,992349,0,11815,2,1989-04-05T00:00:00,,16,604886T,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,,,,,,,,,,,,RIS 257.17,569912,STRASBURG,,,2,1,1,,,16,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0257.17,,,0,0,0.0,0.0,,,,,0,0,0,0,,,,,0,,,,,,2,0,0,,,,,,,,,,,,,,,2,,,,,,,2,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,POINT EMPTY
39,992350,0,11815,2,1989-04-05T00:00:00,,16,604887A,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,2,,,,,,2,,,,,RIS 257.01,569912,STRASBURG,,,3,1,1,,,11,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0257.01,,,0,1,1.0,0.0,,,,,40,1,40,1,,,,,0,,18,2,,,1,1,0,,,,,,,,,,,0,,,,2,,,,,,,,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,3,2,,2,2,,,,,18,,2,,3,1,8,0,19,2,,,,,000005,,20,2,0,,,POINT EMPTY
40,992412,0,11815,2,1989-04-05T00:00:00,,16,604893D,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,2,,,,,,2,,,,,RIS 253.23,569912,STRASBURG,,,3,1,1,,,11,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0253.23,,,0,1,1.0,0.0,,,,,40,1,40,1,,,,,0,,18,2,,,1,1,0,,,,,,,,,,,0,,,,2,,,,,,,,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,3,2,,2,2,,,,,18,,2,,2,2,8,0,19,2,,,,,000010,,20,2,0,,,POINT EMPTY
41,992413,0,11815,2,1989-04-05T00:00:00,,16,604892W,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,,,,,,,,,,,,RIS 254.53,569912,STRASBURG,,,2,1,1,,,16,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0254.53,,,0,0,0.0,0.0,,,,,0,0,0,0,,,,,0,,,,,,2,0,0,,,,,,,,,,,,,,,2,,,,,,,2,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,POINT EMPTY
43,1090730,0,11815,2,1991-11-09T00:00:00,,16,441989P,UP,Published,Major,,Migration,0001-01-01T00:00:00,UP,29,29037,0,290376360,PRIV.,,,,,,,,,,,,,,S2270L0000,569916,PLEASANT HILL,,,2,1,1,,,14,,,0,,,,,,,,,,,,,,8008488715,,5737517125,UP,Primary,WESTERN,SEDALIA,,,0248.62,,,0,0,0.0,0.0,,,,,0,0,0,0,,,,,0,,,,,,2,0,0,,,,,,,,,,,,,,,2,,,,,,,2,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1982,,2,0,,,POINT EMPTY
57,1238610,0,2458,1,1994-01-16T00:00:00,,16,441982S,UP,Published,Major,,Migration,0001-01-01T00:00:00,UP,29,29037,1,290376360,PRIV.,,,,,,,,,,,,,,S2280L0000,569914,AVON,,,2,1,1,,,16,,,0,,,38.755424,-94.093742,,,,,,,,,,8008488715,,5737517125,UP,Primary,WESTERN,SEDALIA,,,0251.52,,,0,19,0.0,0.0,,,,,0,0,0,0,,,,,0,,,,,,2,0,0,,,,,,,,,,,,,,,2,,,,,,,2,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1982,,2,0,,,POINT (-98.02374253477564 35.70664133650856)
